"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","ah5Ghc","M4A5Cf","ah5Ghc 2"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/FamilyMart+Nagaokakyo+Kugai/data=!4m7!3m6!1s0x600104ee063c7aa3:0xa8e9372a6bb989e1!8m2!3d34.9116062!4d135.6974324!16s%2Fg%2F1tykv8jm!19sChIJo3o8Bu4EAWAR4Ym5ayo36ag?authuser=0&hl=es-419&rclk=1","FamilyMart Nagaokakyo Kugai","3.3","(24)","Tienda de alimentación","·","","·","1 Chome-204-1 Kugai","Abierto las 24 horas","·","075-958-6415","https://as.chizumaru.com/famima/detailmap?account=famima&bid=33516","","Sitio web","","Indicaciones","Retiro en tienda","",""
"https://www.google.com/maps/place/LAWSON+Nagaokakyo+Interchange+Store/data=!4m7!3m6!1s0x6001046483291e61:0x210bfb16abe2c268!8m2!3d34.9165442!4d135.6876348!16s%2Fg%2F1ptyn_k8s!19sChIJYR4pg2QEAWARaMLiqxb7CyE?authuser=0&hl=es-419&rclk=1","LAWSON Nagaokakyo Interchange Store","3.3","(36)","Tienda de alimentación","·","","·","Igaji-39-3 Shimokaiinji","Abierto las 24 horas","·","075-951-0081","https://www.lawson.co.jp/","","Sitio web","","Indicaciones","Retiro en tienda","·","Entrega a domicilio"
"https://www.google.com/maps/place/Bambio+Nibankan/data=!4m7!3m6!1s0x6001045c69871807:0x808d68531c6c4af4!8m2!3d34.9230533!4d135.6994366!16s%2Fg%2F1tc_qxt2!19sChIJBxiHaVwEAWAR9EpsHFNojYA?authuser=0&hl=es-419&rclk=1","Bambio Nibankan","3.5","(492)","Centro comercial","·","","·","2 Chome-2-1 Kotari","Abierto","·","075-951-4300","http://www.nud.jp/bambio/2ban/","","Sitio web","","Indicaciones","","",""
"https://www.google.com/maps/place/7-Eleven+Umekoji+K%C5%8Dennishi/data=!4m7!3m6!1s0x6001061712e844d7:0xe2f986a4c0aa91a1!8m2!3d34.9872704!4d135.7416063!16s%2Fg%2F11clwrq4tq!19sChIJ10ToEhcGAWARoZGqwKSG-eI?authuser=0&hl=es-419&rclk=1","7-Eleven Umekoji Kōennishi","3.1","(23)","Tienda de alimentación","·","","·","41 Sujakuuchihatacho","Abierto las 24 horas","·","075-311-5017","http://www.sej.co.jp/","","Sitio web","","Indicaciones","Retiro en tienda","",""
"https://www.google.com/maps/place/Ministop/data=!4m7!3m6!1s0x600108b131777ffb:0xeca34d4069098bde!8m2!3d34.9880167!4d135.7490339!16s%2Fg%2F11b5pm1358!19sChIJ-393MbEIAWAR3osJaUBNo-w?authuser=0&hl=es-419&rclk=1","Ministop","2.9","(68)","Tienda de alimentación","·","","·","439-1 Kaminocho","Abierto las 24 horas","·","075-371-8828","https://map.ministop.co.jp/search/0000001602","","Sitio web","","Indicaciones","Entrega a domicilio","",""
"https://www.google.com/maps/place/Lawson+Nagaokakyo+Garasha-dori/data=!4m7!3m6!1s0x600104588e8f6275:0x62dd3e46bdc75cda!8m2!3d34.9193482!4d135.7019488!16s%2Fg%2F11bwny8jh2!19sChIJdWKPjlgEAWAR2lzHvUY-3WI?authuser=0&hl=es-419&rclk=1","Lawson Nagaokakyo Garasha-dori","3.4","(22)","Tienda de alimentación","·","","·","2 Chome-7-3 Higashikotari","Abierto las 24 horas","·","075-959-5050","https://www.lawson.co.jp/","","Sitio web","","Indicaciones","Retiro en tienda","·","Entrega a domicilio"
"https://www.google.com/maps/place/7-Eleven;+Nagaokakyo+Nishinokuchi/data=!4m7!3m6!1s0x6001041cbb7b6095:0x103b3079d503afa1!8m2!3d34.9435294!4d135.6860168!16s%2Fg%2F1hc1c_kdy!19sChIJlWB7uxwEAWARoa8D1XkwOxA?authuser=0&hl=es-419&rclk=1","7-Eleven; Nagaokakyo Nishinokuchi","2.6","(29)","Tienda de alimentación","·","","·","Nishinokuchi-17-9 Inouchi","Abierto","·","075-954-6508","http://www.sej.co.jp/","","Sitio web","","Indicaciones","Retiro en tienda","",""
"https://www.google.com/maps/place/7-Eleven/data=!4m7!3m6!1s0x60010f7e34e3b143:0xd55f6c07dd6eec54!8m2!3d34.9455261!4d135.7523439!16s%2Fg%2F11dxbm_x2y!19sChIJQ7HjNH4PAWARVOxu3QdsX9U?authuser=0&hl=es-419&rclk=1","7-Eleven","3.3","(40)","Tienda de alimentación","·","","·","50 Kitahatacho","Abierto las 24 horas","·","075-605-0711","https://www.sej.co.jp/","","Sitio web","","Indicaciones","Retiro en tienda","",""
