link,desc
https://www.google.com/maps/place/7-Eleven/data=!4m7!3m6!1s0x600106498d926e95:0xf018d3ec10271307!8m2!3d34.998392!4d135.731755!16s%2Fg%2F1tfw2y7r!19sChIJlW6SjUkGAWARBxMnEOzTGPA?authuser=0&hl=es-419&rclk=1,7-Eleven
https://www.google.com/maps/place/FamilyMart/data=!4m7!3m6!1s0x600106364cd6d733:0x6d65d9a53be8b7a9!8m2!3d34.9973079!4d135.735106!16s%2Fg%2F12hp0kb7b!19sChIJM9fWTDYGAWARqbfoO6XZZW0?authuser=0&hl=es-419&rclk=1,FamilyMart
https://www.google.com/maps/place/7-Eleven/data=!4m7!3m6!1s0x6001064779d14f91:0xde73821740c1034f!8m2!3d34.9924625!4d135.7325907!16s%2Fg%2F11b7qbrb7v!19sChIJkU_ReUcGAWARTwPBQBeCc94?authuser=0&hl=es-419&rclk=1,7-Eleven
https://www.google.com/maps/place/FamilyMart/data=!4m7!3m6!1s0x60010647ae19c783:0x1acd3c8bc63f8838!8m2!3d34.9922619!4d135.7313807!16s%2Fg%2F11bccm1vnq!19sChIJg8cZrkcGAWAROIg_xos8zRo?authuser=0&hl=es-419&rclk=1,FamilyMart
https://www.google.com/maps/place/7-Eleven+-+Kyoto+Research+Park/data=!4m7!3m6!1s0x6001063bcefece61:0x73b042fe0fb8901f!8m2!3d34.9950549!4d135.7388445!16s%2Fg%2F1tlbjg91!19sChIJYc7-zjsGAWARH5C4D_5CsHM?authuser=0&hl=es-419&rclk=1,7-Eleven - Kyoto Research Park
https://www.google.com/maps/place/7-Eleven+-+Saiin+Station+South/data=!4m7!3m6!1s0x6001064ac428d187:0x3b1a86821b0b20f3!8m2!3d35.0026282!4d135.7314887!16s%2Fg%2F11ckncjrb3!19sChIJh9EoxEoGAWAR8yALG4KGGjs?authuser=0&hl=es-419&rclk=1,7-Eleven - Saiin Station South
https://www.google.com/maps/place/FamilyMart+Saiin+South+Store/data=!4m7!3m6!1s0x6001064a95d95555:0xac7c73d6c68ebd7b!8m2!3d35.0023912!4d135.7322434!16s%2Fg%2F1th7msxv!19sChIJVVXZlUoGAWARe72OxtZzfKw?authuser=0&hl=es-419&rclk=1,FamilyMart Saiin South Store
https://www.google.com/maps/place/Daily+Yamazaki/data=!4m7!3m6!1s0x6001063a3d076657:0x7d7e0c2e3f7b0f36!8m2!3d34.9963954!4d135.7386446!16s%2Fg%2F1vljg6vs!19sChIJV2YHPToGAWARNg97Py4Mfn0?authuser=0&hl=es-419&rclk=1,Daily Yamazaki
https://www.google.com/maps/place/LAWSON+Nishikyogoku+Kitashozakaicho+Store/data=!4m7!3m6!1s0x6001064e551930e1:0xa416159aee229ae2!8m2!3d34.994058!4d135.7259935!16s%2Fg%2F1tr7j8kt!19sChIJ4TAZVU4GAWAR4poi7poVFqQ?authuser=0&hl=es-419&rclk=1,LAWSON Nishikyogoku Kitashozakaicho Store
https://www.google.com/maps/place/Lawson+Shijo-Saiin/data=!4m7!3m6!1s0x6001064ab1548b97:0x23f4616853d207c8!8m2!3d35.0033632!4d135.7321891!16s%2Fg%2F1tgb_nz6!19sChIJl4tUsUoGAWARyAfSU2hh9CM?authuser=0&hl=es-419&rclk=1,Lawson Shijo-Saiin
https://www.google.com/maps/place/7-Eleven/data=!4m7!3m6!1s0x60010646b79f0039:0xf3350b7b02bf0654!8m2!3d34.989438!4d135.729467!16s%2Fg%2F11cltkvjb0!19sChIJOQCft0YGAWARVAa_AnsLNfM?authuser=0&hl=es-419&rclk=1,7-Eleven
https://www.google.com/maps/place/FamilyMart+Nishi-shichijo+Nagura/data=!4m7!3m6!1s0x60010646f28ab0e5:0xcf035b27fe83e22c!8m2!3d34.9908662!4d135.7297592!16s%2Fg%2F1v3kmzbq!19sChIJ5bCK8kYGAWARLOKD_idbA88?authuser=0&hl=es-419&rclk=1,FamilyMart Nishi-shichijo Nagura
https://www.google.com/maps/place/Seven+Bank+ATM/data=!4m7!3m6!1s0x6001079a07804ce1:0xc2e3d3e12dd5c7d3!8m2!3d34.998386!4d135.731746!16s%2Fg%2F11jlhlwrzj!19sChIJ4UyAB5oHAWAR08fVLeHT48I?authuser=0&hl=es-419&rclk=1,Seven Bank ATM
https://www.google.com/maps/place/Ministop/data=!4m7!3m6!1s0x6001063c0cb8b611:0xe9ad3cd961ffa6e6!8m2!3d34.9930073!4d135.7390381!16s%2Fg%2F1x6q1nlh!19sChIJEba4DDwGAWAR5qb_Ydk8rek?authuser=0&hl=es-419&rclk=1,Ministop
https://www.google.com/maps/place/7-Eleven;+Goj%C5%8D+Senbon/data=!4m7!3m6!1s0x60010624cc04f871:0x1b6bf8b9e2d06aeb!8m2!3d34.996454!4d135.7428746!16s%2Fg%2F1ts3fj1v!19sChIJcfgEzCQGAWAR62rQ4rn4axs?authuser=0&hl=es-419&rclk=1,7-Eleven; Gojō Senbon
https://www.google.com/maps/place/Lawson+-+Saiin+West/data=!4m7!3m6!1s0x600107f04161074f:0x9ca53dcecb8c2ff5!8m2!3d35.0036856!4d135.730627!16s%2Fg%2F11jz74d6b1!19sChIJTwdhQfAHAWAR9S-My849pZw?authuser=0&hl=es-419&rclk=1,Lawson - Saiin West
https://www.google.com/maps/place/FamilyMart/data=!4m7!3m6!1s0x6001064dd406073d:0x9980d1ec4a07d723!8m2!3d34.9996867!4d135.722963!16s%2Fg%2F1vntjs_l!19sChIJPQcG1E0GAWARI9cHSuzRgJk?authuser=0&hl=es-419&rclk=1,FamilyMart
https://www.google.com/maps/place/Family+Mart/data=!4m7!3m6!1s0x600107b52ff99ceb:0xda9bd7b2a069b771!8m2!3d35.0033242!4d135.7314536!16s%2Fg%2F1tf3ntdh!19sChIJ65z5L7UHAWARcbdpoLLXm9o?authuser=0&hl=es-419&rclk=1,Family Mart
https://www.google.com/maps/place/7-Eleven+-+Keifuku+Sai+Station/data=!4m7!3m6!1s0x600106355666691d:0x781746655ccc3917!8m2!3d35.0037325!4d135.7333092!16s%2Fg%2F11c74y68nm!19sChIJHWlmVjUGAWARFznMXGVGF3g?authuser=0&hl=es-419&rclk=1,7-Eleven - Keifuku Sai Station
https://www.google.com/maps/place/Lawson+-+Shij%C5%8D+Nakashinmichi/data=!4m7!3m6!1s0x60010633bd6451e7:0xb06f5edc02580f2b!8m2!3d35.0037677!4d135.7390931!16s%2Fg%2F11bwf841ct!19sChIJ51FkvTMGAWARKw9YAtxeb7A?authuser=0&hl=es-419&rclk=1,Lawson - Shijō Nakashinmichi
