link,name
https://www.google.com/maps/place/Kon%27s+Cycle/data=!4m7!3m6!1s0x6001064a1063da59:0x9a2ca1a6749196a8!8m2!3d34.9998431!4d135.7324021!16s%2Fg%2F1w0h_hww!19sChIJWdpjEEoGAWARqJaRdKahLJo?authuser=0&hl=es-419&rclk=1,Kon's Cycle
https://www.google.com/maps/place/%E8%87%AA%E8%BB%A2%E8%BB%8A%E3%82%B5%E3%82%AC%E3%83%8E%E3%80%90%E5%87%BA%E5%BC%B5%E4%BF%AE%E7%90%86%E5%B0%82%E9%96%80%E3%80%91%E2%80%BB%E5%BA%97%E8%88%97%E3%81%AA%E3%81%97/data=!4m7!3m6!1s0x6001079f5280781f:0xf9f9054830f3741a!8m2!3d35.0012622!4d135.7375894!16s%2Fg%2F11j934630w!19sChIJH3iAUp8HAWARGnTzMEgF-fk?authuser=0&hl=es-419&rclk=1,自転車サガノ【出張修理専門】※店舗なし
https://www.google.com/maps/place/AEON+Cycle+Shop/data=!4m7!3m6!1s0x6001064ea7aa2d35:0x4f86088cf449df25!8m2!3d34.9970686!4d135.7276593!16s%2Fg%2F11gnp8r4pn!19sChIJNS2qp04GAWARJd9J9IwIhk8?authuser=0&hl=es-419&rclk=1,AEON Cycle Shop
https://www.google.com/maps/place/%E3%83%90%E3%82%A4%E3%82%B7%E3%82%AF%E3%83%AB%E3%82%B9%E3%83%88%E3%82%A2+%E3%83%95%E3%83%AA%E3%83%BC/data=!4m7!3m6!1s0x6001066ad8de2f9b:0xf85b2b07893bb534!8m2!3d34.9905461!4d135.7325982!16s%2Fg%2F11c5s7kj3t!19sChIJmy_e2GoGAWARNLU7iQcrW_g?authuser=0&hl=es-419&rclk=1,バイシクルストア フリー
https://www.google.com/maps/place/Cycle+Shop+Eirin+Tanbaguchi/data=!4m7!3m6!1s0x60010624b38e3cb9:0x6d3da16561a06a3c!8m2!3d34.9959078!4d135.7428262!16s%2Fg%2F1ptz9r037!19sChIJuTyOsyQGAWARPGqgYWWhPW0?authuser=0&hl=es-419&rclk=1,Cycle Shop Eirin Tanbaguchi
https://www.google.com/maps/place/Pals/data=!4m7!3m6!1s0x6001064849bee559:0x666004d3341f0868!8m2!3d34.996387!4d135.731888!16s%2Fg%2F1pv000cdc!19sChIJWeW-SUgGAWARaAgfNNMEYGY?authuser=0&hl=es-419&rclk=1,Pals
https://www.google.com/maps/place/%E8%87%AA%E8%BB%A2%E8%BB%8A%E4%BF%AE%E7%90%86+%E3%83%89%E3%82%AF%E3%82%BF%E3%83%BC%E3%82%B5%E3%82%A4%E3%82%AF%E3%83%AB/data=!4m7!3m6!1s0x600107c72584488b:0x5a892a5d13117450!8m2!3d35.0025347!4d135.7462421!16s%2Fg%2F11j7qs8tv5!19sChIJi0iEJccHAWARUHQRE10qiVo?authuser=0&hl=es-419&rclk=1,自転車修理 ドクターサイクル
https://www.google.com/maps/place/%E5%B2%A1%E6%9C%AC%E8%87%AA%E8%BB%A2%E8%BB%8A%E5%95%86%E4%BC%9A/data=!4m7!3m6!1s0x6001063147b32369:0xb396ffc4b2e13984!8m2!3d35.0010773!4d135.7385968!16s%2Fg%2F1tfnyh58!19sChIJaSOzRzEGAWARhDnhssT_lrM?authuser=0&hl=es-419&rclk=1,岡本自転車商会
https://www.google.com/maps/place/CycleDream/data=!4m7!3m6!1s0x600107a91e7ad8e3:0xb89aafebb99a1765!8m2!3d35.00338!4d135.717479!16s%2Fg%2F1tfbssqp!19sChIJ49h6HqkHAWARZReaueuvmrg?authuser=0&hl=es-419&rclk=1,CycleDream
https://www.google.com/maps/place/%E3%82%B5%E3%82%A4%E3%82%AF%E3%83%AB%E3%83%99%E3%83%BC%E3%82%B9%E3%81%82%E3%81%95%E3%81%B2%E8%91%9B%E9%87%8E%E5%A4%A7%E8%B7%AF%E5%9B%9B%E6%9D%A1%E5%BA%97/data=!4m7!3m6!1s0x600107a7b876e11b:0xd87439c4d5340d55!8m2!3d35.0021875!4d135.7192114!16s%2Fg%2F11krwq8j8p!19sChIJG-F2uKcHAWARVQ001cQ5dNg?authuser=0&hl=es-419&rclk=1,サイクルベースあさひ葛野大路四条店
