link,qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,doJOZc,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,UsdlK,lcr4fd href,Cw1rxd,R8c4Qb,Cw1rxd 2,R8c4Qb 2,ah5Ghc,W4Efsd 7,latitude,longitude
https://www.google.com/maps/place/7-Eleven/data=!4m7!3m6!1s0x600106498d926e95:0xf018d3ec10271307!8m2!3d34.998392!4d135.731755!16s%2Fg%2F1tfw2y7r!19sChIJlW6SjUkGAWARBxMnEOzTGPA?authuser=0&hl=es-419&rclk=1,7-Eleven,3.2,(33),コンビニエンスストア,·,,·,13 Saiintakadacho,Abierto las 24 horas,·,075-314-1701,http://www.sej.co.jp/,,Sitio web,,Indicaciones,Retiro en tienda,,34.998392,135.731755
https://www.google.com/maps/place/FamilyMart/data=!4m7!3m6!1s0x600106364cd6d733:0x6d65d9a53be8b7a9!8m2!3d34.9973079!4d135.735106!16s%2Fg%2F12hp0kb7b!19sChIJM9fWTDYGAWARqbfoO6XZZW0?authuser=0&hl=es-419&rclk=1,FamilyMart,4.3,(8),コンビニエンスストア,·,,·,1-2 Mibuhigashitakadacho,Abierto,·,075-326-6003,https://as.chizumaru.com/famima/detailmap?account=famima&bid=36362,,Sitio web,,Indicaciones,,⋅ Cierra a las 8 p.m.,34.9973079,135.735106
https://www.google.com/maps/place/7-Eleven/data=!4m7!3m6!1s0x6001064779d14f91:0xde73821740c1034f!8m2!3d34.9924625!4d135.7325907!16s%2Fg%2F11b7qbrb7v!19sChIJkU_ReUcGAWARTwPBQBeCc94?authuser=0&hl=es-419&rclk=1,7-Eleven,2.4,(33),コンビニエンスストア,·,,·,64 Nishishichijo Kakegoshicho,Abierto las 24 horas,·,075-323-3828,http://www.sej.co.jp/,,Sitio web,,Indicaciones,Retiro en tienda,,34.9924625,135.7325907
https://www.google.com/maps/place/FamilyMart/data=!4m7!3m6!1s0x60010647ae19c783:0x1acd3c8bc63f8838!8m2!3d34.9922619!4d135.7313807!16s%2Fg%2F11bccm1vnq!19sChIJg8cZrkcGAWAROIg_xos8zRo?authuser=0&hl=es-419&rclk=1,FamilyMart,3.3,(24),コンビニエンスストア,·,,·,26-1 Nishishichijo Kakegoshicho,Abierto las 24 horas,·,075-316-5029,https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&bid=53040,,Sitio web,,Indicaciones,Retiro en tienda,,34.9922619,135.7313807
https://www.google.com/maps/place/7-Eleven+-+Kyoto+Research+Park/data=!4m7!3m6!1s0x6001063bcefece61:0x73b042fe0fb8901f!8m2!3d34.9950549!4d135.7388445!16s%2Fg%2F1tlbjg91!19sChIJYc7-zjsGAWARH5C4D_5CsHM?authuser=0&hl=es-419&rclk=1,7-Eleven - Kyoto Research Park,2.6,(25),コンビニエンスストア,·,,93 Chudoji Awatacho,·,Abierto las 24 horas,,075-315-3737,https://www.sej.co.jp/,,Sitio web,,Indicaciones,Retiro en tienda,,34.9950549,135.7388445
https://www.google.com/maps/place/7-Eleven+-+Saiin+Station+South/data=!4m7!3m6!1s0x6001064ac428d187:0x3b1a86821b0b20f3!8m2!3d35.0026282!4d135.7314887!16s%2Fg%2F11ckncjrb3!19sChIJh9EoxEoGAWAR8yALG4KGGjs?authuser=0&hl=es-419&rclk=1,7-Eleven - Saiin Station South,3.5,(52),コンビニエンスストア,·,,·,17 Saiinnishisanzocho,Abierto las 24 horas,·,075-322-1161,https://www.sej.co.jp/,,Sitio web,,Indicaciones,Retiro en tienda,,35.0026282,135.7314887
https://www.google.com/maps/place/FamilyMart+Saiin+South+Store/data=!4m7!3m6!1s0x6001064a95d95555:0xac7c73d6c68ebd7b!8m2!3d35.0023912!4d135.7322434!16s%2Fg%2F1th7msxv!19sChIJVVXZlUoGAWARe72OxtZzfKw?authuser=0&hl=es-419&rclk=1,FamilyMart Saiin South Store,2.5,(29),コンビニエンスストア,·,,·,20-1 Saiinsanzocho,Abierto las 24 horas,·,075-323-6910,https://as.chizumaru.com/famima/detailmap?account=famima&bid=37835,,Sitio web,,Indicaciones,Retiro en tienda,,35.0023912,135.7322434
https://www.google.com/maps/place/Daily+Yamazaki/data=!4m7!3m6!1s0x6001063a3d076657:0x7d7e0c2e3f7b0f36!8m2!3d34.9963954!4d135.7386446!16s%2Fg%2F1vljg6vs!19sChIJV2YHPToGAWARNg97Py4Mfn0?authuser=0&hl=es-419&rclk=1,Daily Yamazaki,3.6,(23),コンビニエンスストア,·,,·,56-12 Chudoji Shonouchicho,Abierto las 24 horas,·,075-315-2541,http://www.daily-yamazaki.jp/,,Sitio web,,Indicaciones,,,34.9963954,135.7386446
https://www.google.com/maps/place/LAWSON+Nishikyogoku+Kitashozakaicho+Store/data=!4m7!3m6!1s0x6001064e551930e1:0xa416159aee229ae2!8m2!3d34.994058!4d135.7259935!16s%2Fg%2F1tr7j8kt!19sChIJ4TAZVU4GAWAR4poi7poVFqQ?authuser=0&hl=es-419&rclk=1,LAWSON Nishikyogoku Kitashozakaicho Store,2.4,(32),コンビニエンスストア,·,,·,"Nishikyogoku Kitashozakaicho, １−1",Abierto las 24 horas,·,075-322-3557,https://www.lawson.co.jp/,,Sitio web,,Indicaciones,Retiro en tienda,,34.994058,135.7259935
https://www.google.com/maps/place/Lawson+Shijo-Saiin/data=!4m7!3m6!1s0x6001064ab1548b97:0x23f4616853d207c8!8m2!3d35.0033632!4d135.7321891!16s%2Fg%2F1tgb_nz6!19sChIJl4tUsUoGAWARyAfSU2hh9CM?authuser=0&hl=es-419&rclk=1,Lawson Shijo-Saiin,2.1,(73),コンビニエンスストア,·,,·,"Saiinkozanjicho, ９",Abierto las 24 horas,·,075-313-5527,https://www.lawson.co.jp/,,Sitio web,,Indicaciones,Retiro en tienda,,35.0033632,135.7321891
https://www.google.com/maps/place/7-Eleven/data=!4m7!3m6!1s0x60010646b79f0039:0xf3350b7b02bf0654!8m2!3d34.989438!4d135.729467!16s%2Fg%2F11cltkvjb0!19sChIJOQCft0YGAWARVAa_AnsLNfM?authuser=0&hl=es-419&rclk=1,7-Eleven,3.1,(23),コンビニエンスストア,·,,·,65-2 Nishishichijo Kitatsukiyomicho,Abierto,·,075-321-3458,https://www.sej.co.jp/,,Sitio web,,Indicaciones,Retiro en tienda,⋅ Cierra a las 12 a.m.,34.989438,135.729467
https://www.google.com/maps/place/FamilyMart+Nishi-shichijo+Nagura/data=!4m7!3m6!1s0x60010646f28ab0e5:0xcf035b27fe83e22c!8m2!3d34.9908662!4d135.7297592!16s%2Fg%2F1v3kmzbq!19sChIJ5bCK8kYGAWARLOKD_idbA88?authuser=0&hl=es-419&rclk=1,FamilyMart Nishi-shichijo Nagura,3.1,(14),コンビニエンスストア,·,,·,27 Nishishichijo Nakuracho,Abierto las 24 horas,·,075-325-6061,https://as.chizumaru.com/famima/detailmap?account=famima&bid=37965,,Sitio web,,Indicaciones,Compras en tienda,,34.9908662,135.7297592
https://www.google.com/maps/place/Seven+Bank+ATM/data=!4m7!3m6!1s0x6001079a07804ce1:0xc2e3d3e12dd5c7d3!8m2!3d34.998386!4d135.731746!16s%2Fg%2F11jlhlwrzj!19sChIJ4UyAB5oHAWAR08fVLeHT48I?authuser=0&hl=es-419&rclk=1,Seven Bank ATM,,,ATM,·,,·,13 Saiintakadacho,Abierto las 24 horas,·,0120-771-179,https://location.sevenbank.co.jp/sevenbank/spot/detail?code=0000009390,,Sitio web,,Indicaciones,,,34.998386,135.731746
https://www.google.com/maps/place/Ministop/data=!4m7!3m6!1s0x6001063c0cb8b611:0xe9ad3cd961ffa6e6!8m2!3d34.9930073!4d135.7390381!16s%2Fg%2F1x6q1nlh!19sChIJEba4DDwGAWAR5qb_Ydk8rek?authuser=0&hl=es-419&rclk=1,Ministop,3.1,(25),コンビニエンスストア,·,,20-2 Nishishichijo Higashihattandacho,·,Abierto las 24 horas,,075-315-1519,https://www.ministop.co.jp/,,Sitio web,,Indicaciones,Entrega a domicilio,,34.9930073,135.7390381
https://www.google.com/maps/place/7-Eleven;+Goj%C5%8D+Senbon/data=!4m7!3m6!1s0x60010624cc04f871:0x1b6bf8b9e2d06aeb!8m2!3d34.996454!4d135.7428746!16s%2Fg%2F1ts3fj1v!19sChIJcfgEzCQGAWAR62rQ4rn4axs?authuser=0&hl=es-419&rclk=1,7-Eleven; Gojō Senbon,4.0,(25),コンビニエンスストア,·,,·,65 Chudoji Bojocho,Abierto las 24 horas,·,075-812-5898,http://www.sej.co.jp/,,Sitio web,,Indicaciones,Retiro en tienda,,34.996454,135.7428746
https://www.google.com/maps/place/Lawson+-+Saiin+West/data=!4m7!3m6!1s0x600107f04161074f:0x9ca53dcecb8c2ff5!8m2!3d35.0036856!4d135.730627!16s%2Fg%2F11jz74d6b1!19sChIJTwdhQfAHAWAR9S-My849pZw?authuser=0&hl=es-419&rclk=1,Lawson - Saiin West,2.4,(15),コンビニエンスストア,·,,·,38‐2 Saiintatsumicho,Abierto las 24 horas,·,075-925-8559,https://www.lawson.co.jp/,,Sitio web,,Indicaciones,Retiro en tienda,,35.0036856,135.730627
https://www.google.com/maps/place/FamilyMart/data=!4m7!3m6!1s0x6001064dd406073d:0x9980d1ec4a07d723!8m2!3d34.9996867!4d135.722963!16s%2Fg%2F1vntjs_l!19sChIJPQcG1E0GAWARI9cHSuzRgJk?authuser=0&hl=es-419&rclk=1,FamilyMart,3.7,(37),コンビニエンスストア,·,,·,1 Saiinshimizucho,Abierto las 24 horas,·,075-323-5260,https://as.chizumaru.com/famima/detailmap?account=famima&bid=32992,,Sitio web,,Indicaciones,Retiro en tienda,,34.9996867,135.722963
https://www.google.com/maps/place/Family+Mart/data=!4m7!3m6!1s0x600107b52ff99ceb:0xda9bd7b2a069b771!8m2!3d35.0033242!4d135.7314536!16s%2Fg%2F1tf3ntdh!19sChIJ65z5L7UHAWARcbdpoLLXm9o?authuser=0&hl=es-419&rclk=1,Family Mart,3.0,(29),コンビニエンスストア,·,,12-3 Saiinkozanjicho,·,Abierto las 24 horas,,075-325-1156,https://as.chizumaru.com/famima/detailmap?account=famima&bid=52242,,Sitio web,,Indicaciones,Retiro en tienda,,35.0033242,135.7314536
https://www.google.com/maps/place/7-Eleven+-+Keifuku+Sai+Station/data=!4m7!3m6!1s0x600106355666691d:0x781746655ccc3917!8m2!3d35.0037325!4d135.7333092!16s%2Fg%2F11c74y68nm!19sChIJHWlmVjUGAWARFznMXGVGF3g?authuser=0&hl=es-419&rclk=1,7-Eleven - Keifuku Sai Station,3.1,(28),コンビニエンスストア,·,,18 Mibufuchidacho,·,Abierto las 24 horas,,075-314-0711,https://www.sej.co.jp/,,Sitio web,,Indicaciones,Retiro en tienda,,35.0037325,135.7333092
https://www.google.com/maps/place/Lawson+-+Shij%C5%8D+Nakashinmichi/data=!4m7!3m6!1s0x60010633bd6451e7:0xb06f5edc02580f2b!8m2!3d35.0037677!4d135.7390931!16s%2Fg%2F11bwf841ct!19sChIJ51FkvTMGAWARKw9YAtxeb7A?authuser=0&hl=es-419&rclk=1,Lawson - Shijō Nakashinmichi,2.7,(36),コンビニエンスストア,·,,·,2-2 Mibumorimachi,Abierto las 24 horas,·,075-406-5963,https://www.e-map.ne.jp/p/lawson/dtl/238144/,,Sitio web,,Indicaciones,Retiro en tienda,,35.0037677,135.7390931
https://www.google.com/maps/place/7-Eleven+Umekoji+K%C5%8Dennishi/data=!4m7!3m6!1s0x6001061712e844d7:0xe2f986a4c0aa91a1!8m2!3d34.9872704!4d135.7416063!16s%2Fg%2F11clwrq4tq!19sChIJ10ToEhcGAWARoZGqwKSG-eI?authuser=0&hl=es-419&rclk=1,7-Eleven Umekoji Kōennishi,3.0,(24),コンビニエンスストア,·,,·,41 Sujakuuchihatacho,Abierto las 24 horas,·,075-311-5017,http://www.sej.co.jp/,,Sitio web,,Indicaciones,Retiro en tienda,,34.9872704,135.7416063
https://www.google.com/maps/place/7-Eleven/data=!4m7!3m6!1s0x600107abbcc379f3:0x58c09ab097f7cff6!8m2!3d34.9988841!4d135.7429388!16s%2Fg%2F11nycw1ph5!19sChIJ83nDvKsHAWAR9s_3l7CawFg?authuser=0&hl=es-419&rclk=1,7-Eleven,3.3,(21),コンビニエンスストア,·,,·,"Mibutsujimachi, ５０",Abierto las 24 horas,·,075-811-1107,https://www.sej.co.jp/,,Sitio web,,Indicaciones,Retiro en tienda,,34.9988841,135.7429388
https://www.google.com/maps/place/FamilyMart/data=!4m7!3m6!1s0x60010653953736a5:0x4cd98d35266de3c6!8m2!3d34.9946616!4d135.7200284!16s%2Fg%2F1td4dfxv!19sChIJpTY3lVMGAWARxuNtJjWN2Uw?authuser=0&hl=es-419&rclk=1,FamilyMart,4.0,(23),コンビニエンスストア,·,,·,32-2 Nishikyogoku Higashiomarucho,Abierto las 24 horas,·,075-315-0266,https://as.chizumaru.com/famima/detailmap?account=famima&bid=01478,,Sitio web,,Indicaciones,Retiro en tienda,,34.9946616,135.7200284
https://www.google.com/maps/place/Lawson+Shij%C5%8D+Nishik%C5%8Dji/data=!4m7!3m6!1s0x600107b24eb2ff01:0xf30b6d19b4c944c6!8m2!3d35.0037038!4d135.7257526!16s%2Fg%2F1tgd6f3w!19sChIJAf-yTrIHAWARxkTJtBltC_M?authuser=0&hl=es-419&rclk=1,Lawson Shijō Nishikōji,2.9,(56),コンビニエンスストア,·,,·,78 Saiininuicho,Abierto las 24 horas,·,075-323-7676,https://www.lawson.co.jp/,,Sitio web,,Indicaciones,Retiro en tienda,,35.0037038,135.7257526
https://www.google.com/maps/place/Kyoto+Chuo+Shinkin+Bank/data=!4m7!3m6!1s0x6001064840229a0d:0x5ae6b865649cf721!8m2!3d34.9956684!4d135.7318621!16s%2Fg%2F1td0yc8c!19sChIJDZoiQEgGAWARIfecZGW45lo?authuser=0&hl=es-419&rclk=1,Kyoto Chuo Shinkin Bank,2.5,(4),ATM,·,,·,"Saiinminamitakadacho, １",Abierto,·,075-312-9131,https://www.chushin.co.jp/tenpo/detail-9-15.html,,Sitio web,,Indicaciones,,⋅ Cierra a las 3 p.m.,34.9956684,135.7318621
